Date,Open,High,Low,Close,Volume
2016-07-19,1232.455739213606,1232.790282030982,1199.3360002933705,1219.4085693359375,3234000
2016-07-20,1215.3946307966303,1219.7436894810114,1204.0201696220954,1218.405517578125,2545600
2016-07-21,1234.4635053242723,1234.7980482796447,1216.398185734161,1221.081787109375,2029800
2016-07-22,1204.3545921376888,1210.3763650983772,1191.6419603317909,1196.3255615234375,2999100
2016-07-25,1204.6891981344363,1212.7182291689342,1199.6710537378751,1200.6746826171875,2427400
2016-07-26,1187.6274712402758,1194.652873182824,1169.5621519594379,1179.9329833984375,4601600
2016-07-27,1190.83582823329,1201.0575949992408,1184.3620426148543,1192.19873046875,4030700
2016-07-28,1185.7251524088915,1188.450957356958,1174.4812069981176,1185.043701171875,1992900
2016-07-29,1187.7694703737436,1198.3319642296203,1146.5416717749993,1177.888427734375,4026500
2016-08-01,1150.6306341744646,1161.8745817396875,1135.9794297712956,1159.489501953125,3004200
2016-08-02,1149.6082028911628,1156.081989451605,1137.342080987167,1138.3642578125,2855700
2016-08-03,1110.4247943833516,1120.987288591969,1101.9066538925313,1105.995361328125,2745100
2016-08-04,1104.291790346974,1113.1506569156322,1086.2333315724015,1102.2474365234375,3207300
2016-08-05,1105.9954161167732,1114.1728313930525,1097.1365495674706,1105.31396484375,3574500
2016-08-08,1107.3582584351248,1131.8905029296875,1100.8844716935039,1131.8905029296875,2552700
2016-08-09,1139.7270325866846,1149.2673485545251,1129.5052654782837,1147.563720703125,3299000
2016-08-10,1158.126552547909,1158.126552547909,1145.1789770854728,1150.9713134765625,2448900
2016-08-12,1162.2150074708343,1163.2371842584078,1136.3198621856443,1140.4085693359375,3124200
2016-08-15,1136.3201300312617,1150.630608430456,1127.8019881269793,1143.1346435546875,1345200
2016-08-16,1144.8380750171862,1144.8380750171862,1115.1949462890625,1115.1949462890625,2268300
2016-08-17,1114.8541998503426,1115.5356510727452,1098.840096123886,1106.3360595703125,2662000
2016-08-18,1081.4630738275039,1089.6404883744037,1067.8340495826708,1071.58203125,4722000
2016-08-19,1069.8784032193958,1077.715092160175,1057.612281399046,1071.58203125,3662700
2016-08-22,1082.8260303939444,1091.0034453497199,1070.2191823371238,1090.6627197265625,2637800
2016-08-23,1091.003413571186,1109.402596685753,1088.9590598917896,1097.136474609375,3208400
2016-08-24,1110.0839204773781,1137.6826919809594,1108.7210181809048,1126.0980224609375,3929100
2016-08-25,1120.305718745245,1129.5053095013645,1118.942816411005,1119.624267578125,2960800
2016-08-26,1116.2169699309593,1116.2169699309593,1091.6847288335755,1098.8399658203125,2881600
2016-08-29,1134.6161779298038,1147.563749930204,1130.868196561267,1144.156494140625,3245100
2016-08-30,1143.8158421555047,1144.4972933572653,1132.5718973264513,1135.638427734375,1379100
2016-08-31,1135.6385772082272,1139.7272849569515,1122.3502770248724,1135.2978515625,2557500
2016-09-01,1133.9348703703704,1155.0598589409722,1125.757455439815,1149.948974609375,1947000
2016-09-02,1158.46718801579,1172.0962137571523,1157.4450110851878,1161.1929931640625,2185200
2016-09-05,1178.9108659294188,1178.9108659294188,1157.4451478503572,1159.489501953125,1352600
2016-09-06,1158.4669119820467,1171.4144833512578,1157.1040097326559,1170.7330322265625,1871900
2016-09-07,1170.7330523781873,1185.7249773795377,1167.325796696062,1182.658447265625,3004200
2016-09-08,1182.3178290223361,1188.45088980689,1173.799689043789,1184.3621826171875,2677700
2016-09-09,1183.3399570125732,1204.464943288064,1175.843994140625,1175.843994140625,4827200
2016-09-12,1158.467222643719,1171.0740718313123,1145.5196478024068,1168.3482666015625,2116200
2016-09-13,1180.2735344215675,1190.1545772905704,1170.392491552565,1177.5477294921875,3187400
2016-09-14,1172.7775730877847,1184.362244059599,1171.4146706205124,1174.481201171875,1801800
2016-09-15,1162.556035956145,1165.6225671178113,1145.8604774092953,1156.4229736328125,2020200
2016-09-16,1161.19294306917,1163.918748099849,1148.5860948022805,1155.7413330078125,2605600
2016-09-20,1150.63051568047,1159.4893825468282,1139.0458436244628,1139.727294921875,3242600
2016-09-21,1138.70523343578,1176.5257842770043,1135.9794279697458,1176.18505859375,4292300
2016-09-23,1163.5779500654235,1182.6585840928506,1154.03763305171,1180.9549560546875,2764400
2016-09-26,1185.3846147049305,1191.1769511378088,1168.6890567513399,1172.0963134765625,2178700
2016-09-27,1157.7855920081001,1176.1847744590823,1146.2009215760004,1175.16259765625,2741100
2016-09-28,1159.1487762693305,1165.2818385776338,1151.6528112258486,1159.489501953125,2546500
2016-09-29,1163.9188526026592,1183.3402151899986,1163.9188526026592,1177.2071533203125,2182300
2016-09-30,1163.9190246475014,1171.7557159727041,1154.0379790635502,1165.96337890625,2414500
2016-10-03,1174.1404420195668,1174.4811676266531,1160.852143343199,1164.2593994140625,2493200
2016-10-04,1171.7554604711333,1171.7554604711333,1156.7635325093045,1161.53369140625,2308800
2016-10-05,1168.0075718367489,1168.0075718367489,1147.2233064102488,1148.2454833984375,2703400
2016-10-06,1151.3119868773872,1154.3785177687444,1146.2011020584582,1148.586181640625,3098400
2016-10-07,1141.4308398230287,1141.4308398230287,1117.9207717789127,1124.0538330078125,3836800
2016-10-11,1119.283763737298,1127.461179362776,1111.787799413943,1113.8321533203125,2947700
2016-10-12,1105.313882736709,1123.0316145191716,1102.9288034583005,1106.3360595703125,2689900
2016-10-13,1108.039634874132,1115.5355979636863,1099.5214949996382,1103.950927734375,2397200
2016-10-14,1107.6989493897916,1108.0396749971092,1096.7957299556256,1104.97314453125,2484600
2016-10-17,1103.2697876654313,1109.4028501045843,1097.8181766084062,1104.6326904296875,2216200
2016-10-18,1097.1364243143105,1111.7876250116756,1095.432796326245,1111.4468994140625,3040300
2016-10-19,1111.447228891226,1114.1730344801683,1102.5883607271635,1107.3585205078125,2924900
2016-10-20,1110.4248549992715,1137.0014547813958,1109.061952446342,1132.572021484375,3127700
2016-10-21,1139.3864262814477,1144.8380359765742,1129.8461093149763,1130.8682861328125,2641600
2016-10-24,1131.2092776950315,1138.0237914160857,1124.394763973977,1136.660888671875,2185500
2016-10-25,1147.2232491629466,1157.1042928890306,1146.8825235172194,1151.993408203125,2681200
2016-10-26,1147.2232785944352,1166.6446408991228,1147.2232785944352,1165.28173828125,2752000
2016-10-27,1172.096075666569,1175.844057303875,1160.5114051512599,1162.896484375,1955700
2016-10-28,1168.0072980333202,1189.4730097533024,1167.3258468676065,1188.110107421875,5171900
2016-10-31,1180.6144046975664,1186.0660152243086,1172.4369889074535,1183.3402099609375,2320500
2016-11-01,1181.9772205058,1190.836086961018,1173.7998053163683,1190.495361328125,2171900
2016-11-02,1172.0959911040147,1176.5254236285357,1160.170595845689,1166.985107421875,1907300
2016-11-04,1168.688873345479,1169.02959896453,1139.386470107079,1145.51953125,2511500
2016-11-07,1165.2816287602218,1168.3481593622225,1155.4005857093312,1166.64453125,2500400
2016-11-08,1166.9854669966069,1172.0963522535264,1156.4229707989734,1159.489501953125,1825700
2016-11-09,1165.2816951976104,1173.459110602506,1088.2777001348443,1100.5438232421875,5815300
2016-11-10,1154.3781705308647,1167.3257415108449,1150.6301894577125,1160.51123046875,4084400
2016-11-11,1178.9105383142248,1187.0879524528207,1150.6303144182477,1154.3782958984375,3820300
2016-11-14,1165.6224957894588,1177.8886196855185,1158.80798251387,1175.5035400390625,2403900
2016-11-15,1174.1404355854386,1183.3400269263575,1165.9630210601772,1173.458984375,1927500
2016-11-16,1180.2738433917111,1187.4290832044207,1173.4593292843688,1181.2960205078125,2382600
2016-11-17,1187.0882090935006,1200.0357842787912,1182.999501140251,1195.265625,3043200
2016-11-18,1202.7613418835078,1207.190774587328,1197.991183587086,1198.3319091796875,2680400
2016-11-21,1205.8281170924727,1215.7091612845275,1203.1023117981129,1215.0277099609375,2749700
2016-11-22,1210.257528529163,1216.7313159846963,1203.4430154180754,1209.2353515625,2338900
2016-11-24,1226.6125246291642,1239.5601012780278,1225.5903475253067,1237.5157470703125,3341500
2016-11-25,1251.1444491390307,1257.9589613892433,1244.329936888818,1252.1666259765625,2958200
2016-11-28,1260.685034912371,1276.3584164274978,1257.9592294314793,1271.5882568359375,4235000
2016-11-29,1267.1587983652805,1277.3805687204724,1264.7737186157358,1268.8624267578125,2568200
2016-11-30,1274.654690502799,1281.8099293428309,1269.5438056170622,1274.31396484375,3382800
2016-12-01,1291.3502300020602,1291.6909556564144,1275.6768499017714,1279.0841064453125,3884300
2016-12-02,1269.5435174555594,1277.720931416626,1252.8479639517157,1259.6624755859375,3634700
2016-12-05,1249.4408276875813,1257.9589680454187,1239.5597848724901,1242.967041015625,2564400
